x	y	z	wkt_geom
0	0	0	"Polygon((-180 -90,180 -90,180 90,-180 90,-180 -90))"
0	0	1	"Polygon((-180 0,0 0,0 90,-180 90,-180 0))"
1	0	1	"Polygon((0 0,180 0,180 90,0 90,0 0))"
0	1	1	"Polygon((-180 -90,0 -90,0 0,-180 0,-180 -90))"
1	1	1	"Polygon((0 -90,180 -90,180 0,0 0,0 -90))"
0	0	2	"Polygon((-180 30,-60 30,-60 90,-180 90,-180 30))"
1	0	2	"Polygon((-60 30,60 30,60 90,-60 90,-60 30))"
2	0	2	"Polygon((60 30,180 30,180 90,60 90,60 30))"
0	1	2	"Polygon((-180 -30,-60 -30,-60 30,-180 30,-180 -30))"
1	1	2	"Polygon((-60 -30,60 -30,60 30,-60 30,-60 -30))"
2	1	2	"Polygon((60 -30,180 -30,180 30,60 30,60 -30))"
0	2	2	"Polygon((-180 -90,-60 -90,-60 -30,-180 -30,-180 -90))"
1	2	2	"Polygon((-60 -90,60 -90,60 -30,-60 -30,-60 -90))"
2	2	2	"Polygon((60 -90,180 -90,180 -30,60 -30,60 -90))"
0	0	3	"Polygon((-180 45,-90 45,-90 90,-180 90,-180 45))"
1	0	3	"Polygon((-90 45,0 45,0 90,-90 90,-90 45))"
2	0	3	"Polygon((0 45,90 45,90 90,0 90,0 45))"
3	0	3	"Polygon((90 45,180 45,180 90,90 90,90 45))"
0	1	3	"Polygon((-180 0,-90 0,-90 45,-180 45,-180 0))"
1	1	3	"Polygon((-90 0,0 0,0 45,-90 45,-90 0))"
2	1	3	"Polygon((0 0,90 0,90 45,0 45,0 0))"
3	1	3	"Polygon((90 0,180 0,180 45,90 45,90 0))"
0	2	3	"Polygon((-180 -45,-90 -45,-90 0,-180 0,-180 -45))"
1	2	3	"Polygon((-90 -45,0 -45,0 0,-90 0,-90 -45))"
2	2	3	"Polygon((0 -45,90 -45,90 0,0 0,0 -45))"
3	2	3	"Polygon((90 -45,180 -45,180 0,90 0,90 -45))"
0	3	3	"Polygon((-180 -90,-90 -90,-90 -45,-180 -45,-180 -90))"
1	3	3	"Polygon((-90 -90,0 -90,0 -45,-90 -45,-90 -90))"
2	3	3	"Polygon((0 -90,90 -90,90 -45,0 -45,0 -90))"
3	3	3	"Polygon((90 -90,180 -90,180 -45,90 -45,90 -90))"
0	0	4	"Polygon((-180 54,-108 54,-108 90,-180 90,-180 54))"
1	0	4	"Polygon((-108 54,-36 54,-36 90,-108 90,-108 54))"
2	0	4	"Polygon((-36 54,36 54,36 90,-36 90,-36 54))"
3	0	4	"Polygon((36 54,108 54,108 90,36 90,36 54))"
4	0	4	"Polygon((108 54,180 54,180 90,108 90,108 54))"
0	1	4	"Polygon((-180 18,-108 18,-108 54,-180 54,-180 18))"
1	1	4	"Polygon((-108 18,-36 18,-36 54,-108 54,-108 18))"
2	1	4	"Polygon((-36 18,36 18,36 54,-36 54,-36 18))"
3	1	4	"Polygon((36 18,108 18,108 54,36 54,36 18))"
4	1	4	"Polygon((108 18,180 18,180 54,108 54,108 18))"
0	2	4	"Polygon((-180 -18,-108 -18,-108 18,-180 18,-180 -18))"
1	2	4	"Polygon((-108 -18,-36 -18,-36 18,-108 18,-108 -18))"
2	2	4	"Polygon((-36 -18,36 -18,36 18,-36 18,-36 -18))"
